furniture,type,rate,delivery,sale,price
360,11,0.0,52.44,0.15,1650.0
361,264,0.0,172.14,0.0,3500.0
77,264,0.0,172.14,0.24,5500.0
362,409,5.0,172.14,0.13,4000.0
363,12,5.0,172.14,0.1,3999.0
364,264,0.0,172.14,0.25,4440.0
83,264,0.0,52.44,0.19,1240.0
10,264,4.3,172.14,0.5,1400.0
94,264,0.0,172.14,0.2,5500.0
38,264,0.0,172.14,0.17,3500.0
365,96,0.0,10.83,0.0,650.0
366,151,0.0,172.14,0.0,9569.0
65,264,0.0,52.44,0.0,860.0
367,264,0.0,172.14,0.0,3500.0
368,264,0.0,172.14,0.0,2500.0
231,264,0.0,52.44,0.17,666.0
246,96,0.0,52.44,0.0,240.0
207,149,0.0,172.14,0.0,3660.0
108,25,5.0,52.44,0.23,2200.0
369,490,0.0,52.44,0.25,14900.0
370,264,0.0,172.14,0.0,2980.0
371,264,0.0,52.44,0.1,55.0
372,264,0.0,52.44,0.33,3000.0
373,28,0.0,172.14,0.0,14000.0
374,151,0.0,172.14,0.0,11000.0
291,245,0.0,172.14,0.35,5500.0
375,264,2.0,52.44,0.0,3000.0
376,134,4.5,52.44,0.64,3300.0
377,264,0.0,172.14,0.0,350.0
378,264,0.0,52.44,0.0,1199.0
379,439,0.0,173.42,0.47,614.79
65,264,0.0,52.44,0.0,860.0
278,118,0.0,52.44,0.0,1250.0
380,137,0.0,52.44,0.33,2000.0
381,568,0.0,213.21,0.5,222.0
382,96,0.0,52.44,0.0,199.0
383,264,3.0,52.44,0.1,300.0
384,188,0.0,52.44,0.37,1150.0
385,28,4.0,172.14,0.0,3500.0
386,351,5.0,52.44,0.03,150.0
77,264,0.0,172.14,0.0,3500.0
387,96,0.0,52.44,0.0,140.0
388,490,0.0,52.44,0.15,2350.0
61,264,0.0,52.44,0.53,2000.0
375,264,0.0,52.44,0.0,3000.0
389,407,3.8,52.44,0.23,280.0
77,264,0.0,172.14,0.0,3500.0
390,409,0.0,172.14,0.13,4000.0
63,264,1.0,172.14,0.06,4699.0
391,25,0.0,52.44,0.27,1500.0
69,178,3.0,52.44,0.36,950.0
392,532,0.0,52.44,0.17,1050.0
213,409,5.0,172.14,0.17,3000.0
11,264,0.0,172.14,0.68,3000.0
393,392,0.0,52.44,0.13,286.0
296,25,4.0,52.44,0.17,3000.0
207,149,0.0,172.14,0.0,4500.0
40,264,5.0,52.44,0.3,1990.0
394,446,5.0,52.44,0.0,3260.0
319,207,4.3,172.14,0.0,3500.0
395,264,0.0,52.44,0.18,550.0
396,205,0.0,172.14,0.0,3250.0
397,264,0.0,52.44,0.14,1100.0
398,264,0.0,52.44,0.1,516.0
399,178,0.0,52.44,0.31,1999.0
329,12,0.0,172.14,0.17,5999.0
400,509,0.0,144.57,0.5,498.0
401,502,0.0,172.14,0.0,3500.0
402,264,3.0,52.44,0.1,85.0
403,337,0.0,116.38,0.33,259.2
404,538,0.0,52.44,0.17,546.0
77,264,0.0,172.14,0.0,3500.0
63,264,0.0,172.14,0.13,3800.0
162,264,0.0,52.44,0.0,499.0
405,344,3.5,52.44,0.0,4200.0
406,264,0.0,52.44,0.31,1950.0
119,12,0.0,172.14,0.23,5999.0
5,137,0.0,52.44,0.5,1900.0
